customer_id,customer_name,gender,birth_year,city,join_date,age,customer_segment
65,Olivia Anderson,Male,2000,Lower Manhattan,2022-11-05,23,Student
66,Olivia Taylor,Female,1991,Astoria,2021-07-21,32,Young Professional
67,Daniel Taylor,Male,1995,Lower Manhattan,2022-05-29,28,Young Professional
68,William Jones,Female,2001,Lower Manhattan,2023-02-25,22,Student
69,Sophia Smith,Male,1993,Astoria,2021-01-27,30,Young Professional
70,Emily Davis,Male,1991,Astoria,2021-04-03,32,Young Professional
71,Grace Brown,Male,1986,Astoria,2023-01-20,37,Family
72,John Davis,Female,1968,Lower Manhattan,2021-03-01,55,Mature
73,Grace White,Male,1994,Lower Manhattan,2021-11-27,29,Young Professional
74,Alex Brown,Male,1978,Lower Manhattan,2023-03-05,45,Family
75,Robert Smith,Male,1970,Astoria,2022-12-02,53,Mature
76,Robert Jones,Female,1979,Hell's Kitchen,2021-10-24,44,Family
77,Thomas Jones,Male,1979,Lower Manhattan,2022-06-14,44,Family
78,Sarah Anderson,Female,1980,Lower Manhattan,2022-12-27,43,Family
79,Daniel Taylor,Male,1976,Lower Manhattan,2021-12-30,47,Family
80,Emma Jackson,Male,2003,Astoria,2022-12-07,20,Student
81,Grace Anderson,Female,2001,Hell's Kitchen,2023-02-05,22,Student
82,Sarah Davis,Female,1966,Lower Manhattan,2022-09-08,57,Mature
83,Sarah White,Female,1985,Astoria,2022-09-14,38,Family
84,John Williams,Male,1977,Astoria,2021-07-06,46,Family
85,Emily Smith,Female,1999,Lower Manhattan,2023-02-03,24,Student
86,Daniel Johnson,Female,1985,Lower Manhattan,2022-01-22,38,Family
87,William Thomas,Female,1991,Hell's Kitchen,2022-05-05,32,Young Professional
88,David Davis,Male,1968,Lower Manhattan,2023-01-08,55,Mature
89,David Williams,Male,1994,Hell's Kitchen,2021-10-15,29,Young Professional
90,Thomas Wilson,Male,1984,Astoria,2021-03-31,39,Family
91,Grace Williams,Female,2000,Lower Manhattan,2021-01-15,23,Student
92,Emma Thomas,Female,1969,Lower Manhattan,2022-04-06,54,Mature
93,Emma Davis,Male,1977,Hell's Kitchen,2022-05-24,46,Family
94,Michael Miller,Male,1999,Lower Manhattan,2021-05-20,24,Student
95,James Jones,Male,1974,Lower Manhattan,2022-07-02,49,Family
96,David Anderson,Male,1976,Astoria,2021-04-04,47,Family
97,Sophia Miller,Female,1977,Lower Manhattan,2022-07-20,46,Family
98,Grace Johnson,Male,1986,Lower Manhattan,2022-02-07,37,Family
99,Emily Johnson,Male,1967,Astoria,2023-06-23,56,Mature
100,Emily Martin,Male,1990,Hell's Kitchen,2021-10-09,33,Young Professional
101,Emily Harris,Male,1998,Lower Manhattan,2022-12-20,25,Young Professional
102,Emma Thomas,Female,1977,Lower Manhattan,2023-01-18,46,Family
103,Sarah Brown,Male,1972,Lower Manhattan,2023-05-06,51,Mature
104,William Martin,Female,1979,Lower Manhattan,2022-03-21,44,Family
105,James Jackson,Female,1991,Astoria,2022-04-07,32,Young Professional
106,James Thomas,Female,1985,Lower Manhattan,2022-11-07,38,Family
107,William Davis,Male,1989,Hell's Kitchen,2022-04-08,34,Young Professional
108,William Jones,Female,1998,Astoria,2022-08-26,25,Young Professional
109,Daniel Johnson,Female,2003,Hell's Kitchen,2022-02-23,20,Student
110,Sarah Harris,Male,1983,Hell's Kitchen,2023-05-17,40,Family
111,Daniel Davis,Female,1996,Astoria,2023-06-20,27,Young Professional
112,David Brown,Male,1985,Astoria,2021-08-25,38,Family
113,David Jones,Male,1970,Hell's Kitchen,2021-04-29,53,Mature
114,Robert Taylor,Male,1989,Hell's Kitchen,2022-12-13,34,Young Professional
115,Olivia Williams,Female,2004,Astoria,2021-06-26,19,Student
116,Sarah White,Male,1982,Hell's Kitchen,2021-06-20,41,Family
117,Alex Jackson,Male,1987,Astoria,2023-01-31,36,Family
118,Emma Thomas,Male,1994,Lower Manhattan,2023-02-25,29,Young Professional
119,Sophia Davis,Male,1999,Hell's Kitchen,2021-02-22,24,Student
120,John Anderson,Male,1965,Lower Manhattan,2023-03-07,58,Mature
121,Michael Taylor,Female,1967,Hell's Kitchen,2023-06-21,56,Mature
122,Daniel Anderson,Male,1984,Astoria,2023-01-15,39,Family
123,Sophia Johnson,Female,1969,Lower Manhattan,2021-07-25,54,Mature
124,William Davis,Female,2002,Hell's Kitchen,2021-10-20,21,Student
125,William Smith,Female,1993,Astoria,2022-08-05,30,Young Professional
126,Michael Wilson,Female,1990,Hell's Kitchen,2021-05-14,33,Young Professional
127,Michael Jones,Male,1988,Hell's Kitchen,2023-01-24,35,Family
128,Sophia Williams,Female,1984,Hell's Kitchen,2023-02-08,39,Family
129,David Johnson,Male,1967,Hell's Kitchen,2023-02-14,56,Mature
130,Michael Taylor,Male,1996,Hell's Kitchen,2022-06-22,27,Young Professional
131,William Williams,Male,1984,Astoria,2023-04-28,39,Family
132,John Harris,Female,1981,Lower Manhattan,2022-02-13,42,Family
133,Grace Taylor,Female,1982,Lower Manhattan,2021-11-26,41,Family
134,Sarah Miller,Male,1984,Lower Manhattan,2022-01-11,39,Family
135,Sophia Taylor,Female,2003,Hell's Kitchen,2021-08-21,20,Student
136,John Smith,Male,1973,Astoria,2021-04-03,50,Mature
137,Michael Martin,Male,1972,Hell's Kitchen,2022-03-08,51,Mature
138,Sarah Wilson,Male,1970,Lower Manhattan,2022-08-13,53,Mature
139,Emma Jackson,Female,1990,Lower Manhattan,2022-12-13,33,Young Professional
140,Alex Johnson,Male,1966,Lower Manhattan,2022-04-20,57,Mature
141,John Wilson,Male,1997,Lower Manhattan,2023-06-19,26,Young Professional
142,David Wilson,Male,1994,Lower Manhattan,2023-05-26,29,Young Professional
143,Sarah Martin,Female,1994,Lower Manhattan,2021-05-17,29,Young Professional
144,Michael Taylor,Female,1984,Hell's Kitchen,2022-09-07,39,Family
145,Olivia Wilson,Male,1981,Hell's Kitchen,2022-08-04,42,Family
146,Robert Jones,Female,2003,Hell's Kitchen,2023-05-30,20,Student
147,Grace Jones,Female,1999,Hell's Kitchen,2023-02-02,24,Student
148,Olivia Wilson,Male,1972,Hell's Kitchen,2021-05-08,51,Mature
149,Robert Davis,Male,1975,Astoria,2021-07-10,48,Family
150,John Smith,Female,1975,Lower Manhattan,2022-09-14,48,Family
151,Emily White,Male,1984,Astoria,2021-08-25,39,Family
152,Alex Harris,Male,1991,Lower Manhattan,2023-01-12,32,Young Professional
153,Olivia Williams,Female,1974,Hell's Kitchen,2022-05-17,49,Family
154,John Taylor,Female,1967,Hell's Kitchen,2022-07-11,56,Mature
155,John Johnson,Female,1980,Lower Manhattan,2023-02-16,43,Family
156,Sophia Thomas,Female,1985,Lower Manhattan,2022-07-15,38,Family
157,Daniel Jones,Male,1992,Astoria,2022-07-01,31,Young Professional
158,James Anderson,Female,1970,Hell's Kitchen,2021-05-22,53,Mature
159,David Thomas,Male,1993,Astoria,2023-02-20,30,Young Professional
160,Grace Jackson,Female,1971,Astoria,2021-10-20,52,Mature
161,John Johnson,Male,1977,Astoria,2021-09-12,46,Family
162,Sophia Harris,Male,1985,Hell's Kitchen,2022-07-31,38,Family
163,Grace Brown,Male,1969,Lower Manhattan,2021-04-30,54,Mature
164,James Smith,Female,1988,Lower Manhattan,2022-03-07,35,Family
165,Michael Taylor,Female,1966,Lower Manhattan,2022-08-21,57,Mature
166,Olivia Miller,Female,1973,Astoria,2023-02-26,50,Mature
167,John White,Male,1988,Astoria,2021-07-25,35,Family
168,Sarah White,Male,1976,Astoria,2022-12-10,47,Family
169,Grace Jones,Female,1982,Lower Manhattan,2022-12-31,41,Family
170,James Martin,Male,1976,Astoria,2022-05-03,47,Family
171,Sophia Jones,Female,1985,Lower Manhattan,2023-03-09,38,Family
172,Sophia Wilson,Female,1970,Lower Manhattan,2022-07-12,53,Mature
173,Thomas Brown,Female,1971,Lower Manhattan,2021-09-10,52,Mature
174,Grace Martin,Male,2004,Hell's Kitchen,2022-08-21,19,Student
175,Michael Williams,Female,1978,Astoria,2022-07-19,45,Family
176,Emma Smith,Female,1993,Lower Manhattan,2022-08-20,30,Young Professional
177,John Davis,Female,1965,Astoria,2021-05-26,58,Mature
178,Grace Martin,Female,1969,Hell's Kitchen,2022-09-27,54,Mature
179,Michael Harris,Male,1997,Hell's Kitchen,2023-02-19,26,Young Professional
180,Daniel Jackson,Female,1979,Astoria,2022-03-29,44,Family
181,Robert Harris,Male,1977,Astoria,2022-04-08,46,Family
182,James Harris,Female,1972,Astoria,2021-04-23,51,Mature
183,Daniel Wilson,Female,1975,Astoria,2021-10-23,48,Family
184,Emma Jones,Female,1974,Astoria,2023-05-21,49,Family
185,Alex Jackson,Male,1997,Astoria,2023-04-12,26,Young Professional
186,Emily Anderson,Female,2003,Astoria,2021-01-15,20,Student
187,Sarah Miller,Male,1966,Astoria,2022-08-27,57,Mature
188,Thomas Johnson,Male,1970,Lower Manhattan,2021-01-16,53,Mature
189,William Jackson,Female,1990,Astoria,2022-09-05,33,Young Professional
190,Emily Brown,Male,2001,Lower Manhattan,2023-05-05,22,Student
191,Alex Martin,Male,1977,Hell's Kitchen,2022-06-17,46,Family
192,Grace Brown,Female,1999,Lower Manhattan,2022-03-27,24,Student
193,Alex Johnson,Female,1965,Astoria,2021-08-22,58,Mature
194,Daniel White,Female,1995,Hell's Kitchen,2023-01-15,28,Young Professional
195,Thomas Williams,Female,2003,Lower Manhattan,2023-04-14,20,Student
196,William Williams,Female,1985,Astoria,2021-12-18,38,Family
197,Emily Taylor,Male,1988,Lower Manhattan,2022-09-18,35,Family
198,David Harris,Male,1975,Astoria,2022-01-28,48,Family
199,Alex Williams,Female,1997,Lower Manhattan,2021-08-01,26,Young Professional
200,John Jones,Female,1999,Hell's Kitchen,2022-10-05,24,Student
201,Grace Jackson,Male,1999,Lower Manhattan,2022-06-20,24,Student
202,John Martin,Male,1999,Hell's Kitchen,2022-04-09,24,Student
203,Emma Wilson,Female,1968,Lower Manhattan,2023-01-02,55,Mature
204,Sarah Williams,Female,1986,Astoria,2023-04-01,37,Family
205,Grace Smith,Female,1985,Lower Manhattan,2021-09-05,38,Family
206,Michael Brown,Female,1966,Lower Manhattan,2022-09-22,57,Mature
207,John Johnson,Female,1997,Hell's Kitchen,2022-02-06,26,Young Professional
208,Alex Thomas,Female,1972,Lower Manhattan,2022-04-26,51,Mature
209,Grace Johnson,Male,1982,Lower Manhattan,2021-10-12,41,Family
210,John Wilson,Female,1967,Hell's Kitchen,2023-01-26,56,Mature
211,Thomas Thomas,Female,1997,Astoria,2021-01-06,26,Young Professional
212,William Taylor,Female,1972,Hell's Kitchen,2022-05-12,51,Mature
213,Sarah Williams,Male,1986,Astoria,2022-03-04,37,Family
214,Robert White,Female,1985,Lower Manhattan,2021-09-30,38,Family
215,Alex Thomas,Female,1968,Lower Manhattan,2021-11-05,55,Mature
216,Daniel Jackson,Male,2000,Lower Manhattan,2021-04-20,23,Student
217,Robert Johnson,Female,1965,Hell's Kitchen,2021-06-04,58,Mature
218,Sarah Johnson,Female,1991,Lower Manhattan,2021-11-16,32,Young Professional
219,Olivia Harris,Female,1972,Lower Manhattan,2021-04-09,51,Mature
220,Daniel Miller,Female,1989,Hell's Kitchen,2022-08-02,34,Young Professional
221,Grace Jones,Male,1974,Astoria,2022-05-27,49,Family
222,Daniel Wilson,Female,1995,Lower Manhattan,2023-06-14,28,Young Professional
223,Emma Anderson,Male,1988,Hell's Kitchen,2023-04-10,35,Family
224,John Martin,Female,1991,Lower Manhattan,2022-11-11,32,Young Professional
225,Emma Jones,Female,2005,Astoria,2022-04-11,18,Student
226,Grace Harris,Female,1983,Astoria,2022-07-18,40,Family
227,Emma Smith,Female,1996,Astoria,2021-03-17,27,Young Professional
228,Olivia Taylor,Female,1998,Lower Manhattan,2021-07-04,25,Young Professional
229,Michael Anderson,Male,1978,Lower Manhattan,2022-10-22,45,Family
230,Robert Johnson,Male,1977,Astoria,2022-10-07,46,Family
231,David Williams,Male,1993,Lower Manhattan,2021-01-16,30,Young Professional
232,William Davis,Female,2003,Astoria,2022-04-22,20,Student
233,Alex Martin,Female,1965,Hell's Kitchen,2021-10-11,58,Mature
234,Michael Taylor,Female,1969,Hell's Kitchen,2022-11-05,54,Mature
235,Michael Harris,Male,1971,Astoria,2022-07-20,52,Mature
236,William White,Female,1991,Astoria,2021-11-29,32,Young Professional
237,Sarah Wilson,Male,1982,Hell's Kitchen,2023-04-18,41,Family
238,Sophia Jackson,Female,1985,Lower Manhattan,2022-03-12,38,Family
239,Robert Smith,Female,1977,Lower Manhattan,2021-10-11,46,Family
240,Sophia Johnson,Female,1982,Lower Manhattan,2022-04-25,41,Family
241,John White,Female,1996,Lower Manhattan,2023-04-09,27,Young Professional
242,James Jackson,Male,1982,Hell's Kitchen,2021-11-26,41,Family
243,Sarah Brown,Male,1981,Hell's Kitchen,2021-08-13,42,Family
244,Emily Wilson,Female,1966,Astoria,2022-06-12,57,Mature
245,William Anderson,Female,1980,Lower Manhattan,2021-09-08,43,Family
246,Thomas Harris,Male,1995,Hell's Kitchen,2021-09-09,28,Young Professional
247,William Anderson,Male,1970,Astoria,2022-06-08,53,Mature
248,John Davis,Female,1979,Hell's Kitchen,2021-03-11,44,Family
249,Daniel Miller,Male,1976,Lower Manhattan,2023-04-08,47,Family
250,Thomas Davis,Male,1984,Lower Manhattan,2021-06-12,39,Family
251,Daniel Anderson,Male,1998,Hell's Kitchen,2022-09-27,25,Young Professional
252,Grace Harris,Female,1999,Lower Manhattan,2022-03-27,24,Student
253,John Davis,Male,1980,Astoria,2021-09-06,43,Family
254,Emma Brown,Male,1988,Lower Manhattan,2021-03-03,35,Family
255,John Brown,Male,1998,Lower Manhattan,2021-09-04,25,Young Professional
256,Grace Jackson,Male,1999,Hell's Kitchen,2021-12-19,24,Student
257,Robert White,Female,1989,Astoria,2021-04-12,34,Young Professional
258,Grace Johnson,Male,1970,Lower Manhattan,2022-09-08,53,Mature
259,Thomas Smith,Male,1980,Hell's Kitchen,2022-10-01,43,Family
260,Emma Taylor,Female,1976,Hell's Kitchen,2022-04-12,47,Family
261,Emily Williams,Female,1992,Astoria,2021-06-20,31,Young Professional
262,Michael White,Male,1974,Hell's Kitchen,2022-05-20,49,Family
263,John Jones,Male,1966,Astoria,2022-12-08,57,Mature
264,Thomas Williams,Female,2001,Hell's Kitchen,2022-10-22,22,Student
265,Thomas Harris,Female,1969,Lower Manhattan,2021-12-02,54,Mature
266,Olivia Williams,Female,1997,Hell's Kitchen,2021-04-21,26,Young Professional
267,Michael Jones,Male,2004,Hell's Kitchen,2022-02-26,19,Student
268,Olivia Williams,Female,1999,Hell's Kitchen,2021-08-29,24,Student
269,Sarah Johnson,Male,1985,Astoria,2022-12-04,38,Family
270,Olivia Smith,Male,1988,Hell's Kitchen,2022-01-20,35,Family
271,David Smith,Female,1994,Lower Manhattan,2022-09-25,29,Young Professional
272,Michael Williams,Female,1974,Lower Manhattan,2021-09-02,49,Family
273,Robert Smith,Male,1982,Hell's Kitchen,2021-07-10,41,Family
274,Sarah Taylor,Male,1980,Hell's Kitchen,2022-02-04,43,Family
275,Emma Thomas,Female,1976,Lower Manhattan,2022-11-11,47,Family
276,Robert Miller,Male,1987,Astoria,2023-03-26,36,Family
277,Robert Jones,Male,1982,Lower Manhattan,2023-03-05,41,Family
278,Grace Wilson,Male,1965,Astoria,2021-04-15,58,Mature
279,William Harris,Male,1968,Astoria,2022-08-20,55,Mature
280,William White,Female,1991,Hell's Kitchen,2021-09-26,32,Young Professional
281,Olivia Smith,Male,1987,Lower Manhattan,2021-07-12,36,Family
282,Emma Williams,Female,2000,Astoria,2023-03-02,23,Student
283,Thomas Brown,Female,1968,Lower Manhattan,2021-03-17,55,Mature
284,James Brown,Male,1978,Astoria,2022-05-30,45,Family
285,Sophia Taylor,Female,1980,Astoria,2022-12-11,43,Family
286,Grace Davis,Male,1992,Hell's Kitchen,2023-06-03,31,Young Professional
287,John Smith,Female,1982,Astoria,2022-02-28,41,Family
288,Alex Miller,Female,1984,Astoria,2021-06-07,39,Family
289,Thomas Wilson,Female,2002,Astoria,2022-02-06,21,Student
290,Thomas Johnson,Male,1965,Hell's Kitchen,2022-11-20,58,Mature
291,Daniel White,Female,2001,Astoria,2022-04-24,22,Student
292,Daniel Smith,Female,1976,Lower Manhattan,2023-02-04,47,Family
293,Sarah Harris,Male,1966,Hell's Kitchen,2022-09-13,57,Mature
294,David Johnson,Male,1986,Lower Manhattan,2023-05-24,37,Family
295,Robert White,Male,1973,Astoria,2022-07-23,50,Mature
296,Robert Harris,Male,1994,Hell's Kitchen,2021-05-24,29,Young Professional
297,James Martin,Male,1996,Lower Manhattan,2021-03-02,27,Young Professional
298,John White,Female,1981,Hell's Kitchen,2022-05-04,42,Family
299,Olivia Jackson,Female,1997,Astoria,2023-05-16,26,Young Professional
300,Sophia Anderson,Male,1972,Astoria,2022-01-03,51,Mature
301,Sophia Jackson,Female,1978,Astoria,2021-02-13,45,Family
302,William Williams,Female,1967,Lower Manhattan,2022-07-07,56,Mature
303,Robert Taylor,Male,1991,Lower Manhattan,2022-07-09,32,Young Professional
304,John Wilson,Female,1994,Lower Manhattan,2021-03-14,29,Young Professional
305,Grace White,Female,1996,Lower Manhattan,2022-08-02,27,Young Professional
306,Robert Davis,Female,1979,Lower Manhattan,2022-03-08,44,Family
307,William Miller,Male,1999,Lower Manhattan,2021-05-28,24,Student
308,David Anderson,Male,1991,Astoria,2021-01-27,32,Young Professional
309,James Brown,Female,1988,Lower Manhattan,2022-06-28,35,Family
310,Alex Williams,Male,1974,Hell's Kitchen,2021-10-09,49,Family
311,Sarah Wilson,Male,1999,Hell's Kitchen,2021-07-17,24,Student
312,Michael Davis,Male,1995,Astoria,2023-01-19,28,Young Professional
313,Sophia Brown,Male,2000,Lower Manhattan,2021-09-17,23,Student
314,Emily Miller,Male,1979,Astoria,2022-03-02,44,Family
315,Emma Miller,Female,1987,Lower Manhattan,2022-06-14,36,Family
316,William Jones,Male,1967,Lower Manhattan,2023-02-15,56,Mature
317,Sarah Miller,Female,1989,Hell's Kitchen,2023-04-05,34,Young Professional
318,Michael Thomas,Female,1985,Hell's Kitchen,2021-02-22,38,Family
319,James Jones,Female,1998,Lower Manhattan,2021-09-29,25,Young Professional
320,William Martin,Male,1994,Lower Manhattan,2022-09-30,29,Young Professional
321,David Harris,Male,2005,Lower Manhattan,2022-09-14,18,Student
322,Robert Wilson,Female,2003,Lower Manhattan,2021-02-24,20,Student
323,William Jones,Female,1971,Hell's Kitchen,2021-09-18,52,Mature
324,Sarah Taylor,Male,2004,Astoria,2021-05-22,19,Student
325,Grace White,Female,1966,Astoria,2021-06-12,57,Mature
326,Emma Anderson,Female,1983,Lower Manhattan,2023-01-03,40,Family
327,James White,Male,2003,Lower Manhattan,2023-06-28,20,Student
328,Olivia Wilson,Female,1990,Lower Manhattan,2021-01-18,33,Young Professional
329,William Anderson,Female,2005,Lower Manhattan,2023-03-11,18,Student
330,Daniel Jones,Female,1987,Astoria,2021-12-13,36,Family
331,Michael Jackson,Male,1992,Astoria,2023-01-28,31,Young Professional
332,Alex Brown,Male,1986,Hell's Kitchen,2023-05-03,37,Family
333,Olivia Thomas,Male,2003,Lower Manhattan,2022-02-25,20,Student
334,Emma White,Male,1969,Astoria,2021-05-22,54,Mature
335,Thomas Johnson,Male,1980,Astoria,2021-06-07,43,Family
336,Grace Anderson,Female,1992,Hell's Kitchen,2023-05-14,31,Young Professional
337,Sophia Johnson,Female,1985,Lower Manhattan,2022-12-06,38,Family
338,Sophia Thomas,Male,2004,Hell's Kitchen,2021-06-28,19,Student
339,Olivia Johnson,Female,1988,Hell's Kitchen,2023-02-16,35,Family
340,Emma Martin,Male,1970,Astoria,2021-09-03,53,Mature
341,David Williams,Male,1990,Hell's Kitchen,2021-03-09,33,Young Professional
342,Grace Martin,Female,1977,Lower Manhattan,2022-08-05,46,Family
343,Michael White,Female,1984,Lower Manhattan,2022-05-17,39,Family
344,Sarah Taylor,Male,1968,Lower Manhattan,2021-01-06,55,Mature
345,Sarah Jackson,Female,2000,Lower Manhattan,2022-05-14,23,Student
346,Grace Jackson,Female,1981,Lower Manhattan,2022-10-08,42,Family
347,Thomas Martin,Female,1998,Astoria,2021-12-02,25,Young Professional
348,Daniel Brown,Female,1984,Lower Manhattan,2023-04-04,39,Family
349,David Taylor,Male,2003,Astoria,2021-12-16,20,Student
350,Alex Johnson,Male,1979,Astoria,2021-11-21,44,Family
351,Emma Anderson,Female,1969,Lower Manhattan,2022-09-16,54,Mature
352,Michael Williams,Male,1984,Lower Manhattan,2022-07-06,39,Family
353,Daniel Taylor,Male,1966,Astoria,2023-05-02,57,Mature
354,Alex Taylor,Male,1997,Astoria,2021-11-22,26,Young Professional
355,Emma Davis,Male,2002,Hell's Kitchen,2021-04-22,21,Student
356,David Wilson,Male,1973,Lower Manhattan,2022-09-23,50,Mature
357,David Jackson,Male,1967,Lower Manhattan,2023-05-25,56,Mature
358,Thomas Jackson,Female,1996,Astoria,2022-04-26,27,Young Professional
359,Emma Wilson,Male,1993,Lower Manhattan,2022-06-17,30,Young Professional
360,James Taylor,Female,1997,Hell's Kitchen,2022-04-03,26,Young Professional
361,Michael Harris,Male,1988,Astoria,2021-11-26,35,Family
362,Robert Johnson,Male,1988,Lower Manhattan,2021-02-17,35,Family
363,William Johnson,Female,1976,Astoria,2023-06-30,47,Family
364,David Johnson,Male,1977,Astoria,2022-08-26,46,Family
365,Emma Anderson,Male,1990,Lower Manhattan,2022-12-24,33,Young Professional
366,David Davis,Female,2003,Lower Manhattan,2022-04-06,20,Student
367,Thomas Jackson,Male,1977,Lower Manhattan,2021-12-24,46,Family
368,James Thomas,Male,1979,Lower Manhattan,2021-10-20,44,Family
369,David Miller,Female,1989,Lower Manhattan,2021-07-22,34,Young Professional
370,William Harris,Male,1967,Lower Manhattan,2022-03-14,56,Mature
371,Robert Jackson,Female,1991,Lower Manhattan,2021-04-28,32,Young Professional
372,Sophia Jones,Male,1970,Astoria,2021-10-29,53,Mature
373,William Miller,Male,1993,Astoria,2023-05-22,30,Young Professional
374,Emma Jones,Male,2001,Hell's Kitchen,2021-09-04,22,Student
375,John Williams,Female,2002,Astoria,2021-09-24,21,Student
376,Grace Williams,Male,1971,Lower Manhattan,2021-04-21,52,Mature
377,Daniel Martin,Female,1989,Lower Manhattan,2023-03-31,34,Young Professional
378,Olivia Davis,Female,1983,Hell's Kitchen,2021-07-20,40,Family
379,William Miller,Female,1985,Hell's Kitchen,2023-01-02,38,Family
380,Daniel Thomas,Male,1993,Hell's Kitchen,2021-04-29,30,Young Professional
381,Michael Taylor,Female,2005,Lower Manhattan,2021-10-09,18,Student
382,Grace Martin,Female,1988,Astoria,2021-01-10,35,Family
383,Emily Jackson,Male,1987,Hell's Kitchen,2022-08-07,36,Family
384,Sophia Wilson,Female,1991,Hell's Kitchen,2022-11-04,32,Young Professional
385,Michael Miller,Male,1985,Hell's Kitchen,2023-03-13,38,Family
386,Sophia Martin,Female,1979,Hell's Kitchen,2021-03-28,44,Family
